Timestamp,actor,Critic1,critic2,alpha
1.0,0,0,0,0
2.0,0,0,0,0
3.0,0,0,0,0
4.0,0,0,0,0
5.0,0,0,0,0
6.0,0,0,0,0
7.0,0,0,0,0
8.0,0,0,0,0
9.0,0,0,0,0
10.0,0,0,0,0
11.0,0,0,0,0
12.0,0,0,0,0
13.0,"tensor(1.6561, grad_fn=<MeanBackward0>)","tensor(9.0410, grad_fn=<MseLossBackward0>)","tensor(8.0927, grad_fn=<MseLossBackward0>)","tensor(-0.0011, grad_fn=<NegBackward0>)"
14.0,"tensor(-0.5930, grad_fn=<MeanBackward0>)","tensor(1.7989, grad_fn=<MseLossBackward0>)","tensor(0.6069, grad_fn=<MseLossBackward0>)","tensor(-0.0051, grad_fn=<NegBackward0>)"
15.0,"tensor(-1.2556, grad_fn=<MeanBackward0>)","tensor(3.1357, grad_fn=<MseLossBackward0>)","tensor(2.6567, grad_fn=<MseLossBackward0>)","tensor(-0.0095, grad_fn=<NegBackward0>)"
16.0,"tensor(-1.3916, grad_fn=<MeanBackward0>)","tensor(1.2050, grad_fn=<MseLossBackward0>)","tensor(0.9271, grad_fn=<MseLossBackward0>)","tensor(-0.0151, grad_fn=<NegBackward0>)"
17.0,"tensor(-1.9683, grad_fn=<MeanBackward0>)","tensor(0.8849, grad_fn=<MseLossBackward0>)","tensor(0.5217, grad_fn=<MseLossBackward0>)","tensor(-0.0211, grad_fn=<NegBackward0>)"
18.0,"tensor(-2.6148, grad_fn=<MeanBackward0>)","tensor(0.6084, grad_fn=<MseLossBackward0>)","tensor(0.4331, grad_fn=<MseLossBackward0>)","tensor(-0.0269, grad_fn=<NegBackward0>)"
19.0,"tensor(-2.3309, grad_fn=<MeanBackward0>)","tensor(0.4586, grad_fn=<MseLossBackward0>)","tensor(0.3660, grad_fn=<MseLossBackward0>)","tensor(-0.0316, grad_fn=<NegBackward0>)"
20.0,"tensor(-2.6685, grad_fn=<MeanBackward0>)","tensor(0.3586, grad_fn=<MseLossBackward0>)","tensor(0.2955, grad_fn=<MseLossBackward0>)","tensor(-0.0376, grad_fn=<NegBackward0>)"
21.0,"tensor(-2.8773, grad_fn=<MeanBackward0>)","tensor(0.2751, grad_fn=<MseLossBackward0>)","tensor(0.2747, grad_fn=<MseLossBackward0>)","tensor(-0.0442, grad_fn=<NegBackward0>)"
22.0,"tensor(-2.7704, grad_fn=<MeanBackward0>)","tensor(0.1892, grad_fn=<MseLossBackward0>)","tensor(0.1775, grad_fn=<MseLossBackward0>)","tensor(-0.0496, grad_fn=<NegBackward0>)"
23.0,"tensor(-3.1431, grad_fn=<MeanBackward0>)","tensor(0.2269, grad_fn=<MseLossBackward0>)","tensor(0.2371, grad_fn=<MseLossBackward0>)","tensor(-0.0550, grad_fn=<NegBackward0>)"
24.0,"tensor(-3.0470, grad_fn=<MeanBackward0>)","tensor(0.1926, grad_fn=<MseLossBackward0>)","tensor(0.1823, grad_fn=<MseLossBackward0>)","tensor(-0.0604, grad_fn=<NegBackward0>)"
25.0,"tensor(-3.1712, grad_fn=<MeanBackward0>)","tensor(0.1870, grad_fn=<MseLossBackward0>)","tensor(0.1792, grad_fn=<MseLossBackward0>)","tensor(-0.0652, grad_fn=<NegBackward0>)"
26.0,"tensor(-3.2180, grad_fn=<MeanBackward0>)","tensor(0.1911, grad_fn=<MseLossBackward0>)","tensor(0.1778, grad_fn=<MseLossBackward0>)","tensor(-0.0715, grad_fn=<NegBackward0>)"
27.0,"tensor(-3.2652, grad_fn=<MeanBackward0>)","tensor(0.1845, grad_fn=<MseLossBackward0>)","tensor(0.1773, grad_fn=<MseLossBackward0>)","tensor(-0.0767, grad_fn=<NegBackward0>)"
28.0,"tensor(-3.2946, grad_fn=<MeanBackward0>)","tensor(0.2319, grad_fn=<MseLossBackward0>)","tensor(0.2061, grad_fn=<MseLossBackward0>)","tensor(-0.0811, grad_fn=<NegBackward0>)"
29.0,"tensor(-3.3325, grad_fn=<MeanBackward0>)","tensor(0.2592, grad_fn=<MseLossBackward0>)","tensor(0.2404, grad_fn=<MseLossBackward0>)","tensor(-0.0860, grad_fn=<NegBackward0>)"
30.0,"tensor(-3.4446, grad_fn=<MeanBackward0>)","tensor(0.2380, grad_fn=<MseLossBackward0>)","tensor(0.2155, grad_fn=<MseLossBackward0>)","tensor(-0.0918, grad_fn=<NegBackward0>)"
31.0,"tensor(-3.3816, grad_fn=<MeanBackward0>)","tensor(0.1595, grad_fn=<MseLossBackward0>)","tensor(0.1426, grad_fn=<MseLossBackward0>)","tensor(-0.0978, grad_fn=<NegBackward0>)"
32.0,"tensor(-3.3891, grad_fn=<MeanBackward0>)","tensor(0.1469, grad_fn=<MseLossBackward0>)","tensor(0.1359, grad_fn=<MseLossBackward0>)","tensor(-0.1023, grad_fn=<NegBackward0>)"
33.0,"tensor(-3.4588, grad_fn=<MeanBackward0>)","tensor(0.2240, grad_fn=<MseLossBackward0>)","tensor(0.2160, grad_fn=<MseLossBackward0>)","tensor(-0.1076, grad_fn=<NegBackward0>)"
34.0,"tensor(-3.5399, grad_fn=<MeanBackward0>)","tensor(0.1740, grad_fn=<MseLossBackward0>)","tensor(0.1617, grad_fn=<MseLossBackward0>)","tensor(-0.1126, grad_fn=<NegBackward0>)"
35.0,"tensor(-3.4266, grad_fn=<MeanBackward0>)","tensor(0.1567, grad_fn=<MseLossBackward0>)","tensor(0.1521, grad_fn=<MseLossBackward0>)","tensor(-0.1191, grad_fn=<NegBackward0>)"
36.0,"tensor(-3.5291, grad_fn=<MeanBackward0>)","tensor(0.2109, grad_fn=<MseLossBackward0>)","tensor(0.2019, grad_fn=<MseLossBackward0>)","tensor(-0.1231, grad_fn=<NegBackward0>)"
37.0,"tensor(-3.5070, grad_fn=<MeanBackward0>)","tensor(0.1812, grad_fn=<MseLossBackward0>)","tensor(0.1650, grad_fn=<MseLossBackward0>)","tensor(-0.1286, grad_fn=<NegBackward0>)"
38.0,"tensor(-3.6410, grad_fn=<MeanBackward0>)","tensor(0.1867, grad_fn=<MseLossBackward0>)","tensor(0.1739, grad_fn=<MseLossBackward0>)","tensor(-0.1348, grad_fn=<NegBackward0>)"
39.0,"tensor(-3.6671, grad_fn=<MeanBackward0>)","tensor(0.1616, grad_fn=<MseLossBackward0>)","tensor(0.1578, grad_fn=<MseLossBackward0>)","tensor(-0.1395, grad_fn=<NegBackward0>)"
40.0,"tensor(-3.5871, grad_fn=<MeanBackward0>)","tensor(0.2037, grad_fn=<MseLossBackward0>)","tensor(0.1889, grad_fn=<MseLossBackward0>)","tensor(-0.1442, grad_fn=<NegBackward0>)"
41.0,"tensor(-3.6262, grad_fn=<MeanBackward0>)","tensor(0.2066, grad_fn=<MseLossBackward0>)","tensor(0.2001, grad_fn=<MseLossBackward0>)","tensor(-0.1488, grad_fn=<NegBackward0>)"
42.0,"tensor(-3.7069, grad_fn=<MeanBackward0>)","tensor(0.1668, grad_fn=<MseLossBackward0>)","tensor(0.1525, grad_fn=<MseLossBackward0>)","tensor(-0.1555, grad_fn=<NegBackward0>)"
43.0,"tensor(-3.8084, grad_fn=<MeanBackward0>)","tensor(0.1491, grad_fn=<MseLossBackward0>)","tensor(0.1476, grad_fn=<MseLossBackward0>)","tensor(-0.1594, grad_fn=<NegBackward0>)"
44.0,"tensor(-3.6973, grad_fn=<MeanBackward0>)","tensor(0.1526, grad_fn=<MseLossBackward0>)","tensor(0.1450, grad_fn=<MseLossBackward0>)","tensor(-0.1640, grad_fn=<NegBackward0>)"
45.0,"tensor(-3.8380, grad_fn=<MeanBackward0>)","tensor(0.1602, grad_fn=<MseLossBackward0>)","tensor(0.1494, grad_fn=<MseLossBackward0>)","tensor(-0.1719, grad_fn=<NegBackward0>)"
46.0,"tensor(-3.7848, grad_fn=<MeanBackward0>)","tensor(0.1592, grad_fn=<MseLossBackward0>)","tensor(0.1539, grad_fn=<MseLossBackward0>)","tensor(-0.1754, grad_fn=<NegBackward0>)"
47.0,"tensor(-3.7980, grad_fn=<MeanBackward0>)","tensor(0.1674, grad_fn=<MseLossBackward0>)","tensor(0.1573, grad_fn=<MseLossBackward0>)","tensor(-0.1805, grad_fn=<NegBackward0>)"
48.0,"tensor(-3.7607, grad_fn=<MeanBackward0>)","tensor(0.1457, grad_fn=<MseLossBackward0>)","tensor(0.1282, grad_fn=<MseLossBackward0>)","tensor(-0.1859, grad_fn=<NegBackward0>)"
49.0,"tensor(-3.8457, grad_fn=<MeanBackward0>)","tensor(0.1311, grad_fn=<MseLossBackward0>)","tensor(0.1275, grad_fn=<MseLossBackward0>)","tensor(-0.1917, grad_fn=<NegBackward0>)"
50.0,"tensor(-3.9278, grad_fn=<MeanBackward0>)","tensor(0.2058, grad_fn=<MseLossBackward0>)","tensor(0.1977, grad_fn=<MseLossBackward0>)","tensor(-0.1961, grad_fn=<NegBackward0>)"
51.0,"tensor(-3.8615, grad_fn=<MeanBackward0>)","tensor(0.2110, grad_fn=<MseLossBackward0>)","tensor(0.2086, grad_fn=<MseLossBackward0>)","tensor(-0.1981, grad_fn=<NegBackward0>)"
52.0,"tensor(-4.0794, grad_fn=<MeanBackward0>)","tensor(0.1728, grad_fn=<MseLossBackward0>)","tensor(0.1589, grad_fn=<MseLossBackward0>)","tensor(-0.2089, grad_fn=<NegBackward0>)"
53.0,"tensor(-3.9663, grad_fn=<MeanBackward0>)","tensor(0.1555, grad_fn=<MseLossBackward0>)","tensor(0.1570, grad_fn=<MseLossBackward0>)","tensor(-0.2120, grad_fn=<NegBackward0>)"
54.0,"tensor(-4.0588, grad_fn=<MeanBackward0>)","tensor(0.1915, grad_fn=<MseLossBackward0>)","tensor(0.1813, grad_fn=<MseLossBackward0>)","tensor(-0.2168, grad_fn=<NegBackward0>)"
55.0,"tensor(-4.1096, grad_fn=<MeanBackward0>)","tensor(0.1944, grad_fn=<MseLossBackward0>)","tensor(0.1845, grad_fn=<MseLossBackward0>)","tensor(-0.2205, grad_fn=<NegBackward0>)"
56.0,"tensor(-3.9872, grad_fn=<MeanBackward0>)","tensor(0.1772, grad_fn=<MseLossBackward0>)","tensor(0.1703, grad_fn=<MseLossBackward0>)","tensor(-0.2249, grad_fn=<NegBackward0>)"
57.0,"tensor(-3.9300, grad_fn=<MeanBackward0>)","tensor(0.1709, grad_fn=<MseLossBackward0>)","tensor(0.1565, grad_fn=<MseLossBackward0>)","tensor(-0.2315, grad_fn=<NegBackward0>)"
58.0,"tensor(-4.0089, grad_fn=<MeanBackward0>)","tensor(0.1689, grad_fn=<MseLossBackward0>)","tensor(0.1611, grad_fn=<MseLossBackward0>)","tensor(-0.2361, grad_fn=<NegBackward0>)"
59.0,"tensor(-4.0209, grad_fn=<MeanBackward0>)","tensor(0.1981, grad_fn=<MseLossBackward0>)","tensor(0.1964, grad_fn=<MseLossBackward0>)","tensor(-0.2415, grad_fn=<NegBackward0>)"
60.0,"tensor(-4.1010, grad_fn=<MeanBackward0>)","tensor(0.1708, grad_fn=<MseLossBackward0>)","tensor(0.1608, grad_fn=<MseLossBackward0>)","tensor(-0.2478, grad_fn=<NegBackward0>)"
61.0,"tensor(-4.1568, grad_fn=<MeanBackward0>)","tensor(0.1654, grad_fn=<MseLossBackward0>)","tensor(0.1614, grad_fn=<MseLossBackward0>)","tensor(-0.2541, grad_fn=<NegBackward0>)"
62.0,"tensor(-4.2635, grad_fn=<MeanBackward0>)","tensor(0.2208, grad_fn=<MseLossBackward0>)","tensor(0.2043, grad_fn=<MseLossBackward0>)","tensor(-0.2557, grad_fn=<NegBackward0>)"
63.0,"tensor(-4.1854, grad_fn=<MeanBackward0>)","tensor(0.1792, grad_fn=<MseLossBackward0>)","tensor(0.1677, grad_fn=<MseLossBackward0>)","tensor(-0.2615, grad_fn=<NegBackward0>)"
64.0,"tensor(-4.1592, grad_fn=<MeanBackward0>)","tensor(0.2033, grad_fn=<MseLossBackward0>)","tensor(0.1887, grad_fn=<MseLossBackward0>)","tensor(-0.2674, grad_fn=<NegBackward0>)"
65.0,"tensor(-4.1851, grad_fn=<MeanBackward0>)","tensor(0.1800, grad_fn=<MseLossBackward0>)","tensor(0.1668, grad_fn=<MseLossBackward0>)","tensor(-0.2783, grad_fn=<NegBackward0>)"
66.0,"tensor(-4.2372, grad_fn=<MeanBackward0>)","tensor(0.2189, grad_fn=<MseLossBackward0>)","tensor(0.2045, grad_fn=<MseLossBackward0>)","tensor(-0.2793, grad_fn=<NegBackward0>)"
67.0,"tensor(-4.2560, grad_fn=<MeanBackward0>)","tensor(0.2405, grad_fn=<MseLossBackward0>)","tensor(0.2317, grad_fn=<MseLossBackward0>)","tensor(-0.2847, grad_fn=<NegBackward0>)"
68.0,"tensor(-4.3165, grad_fn=<MeanBackward0>)","tensor(0.1771, grad_fn=<MseLossBackward0>)","tensor(0.1635, grad_fn=<MseLossBackward0>)","tensor(-0.2890, grad_fn=<NegBackward0>)"
69.0,"tensor(-4.3068, grad_fn=<MeanBackward0>)","tensor(0.2238, grad_fn=<MseLossBackward0>)","tensor(0.2227, grad_fn=<MseLossBackward0>)","tensor(-0.2925, grad_fn=<NegBackward0>)"
70.0,"tensor(-4.1599, grad_fn=<MeanBackward0>)","tensor(0.1767, grad_fn=<MseLossBackward0>)","tensor(0.1716, grad_fn=<MseLossBackward0>)","tensor(-0.2936, grad_fn=<NegBackward0>)"
71.0,"tensor(-4.2209, grad_fn=<MeanBackward0>)","tensor(0.2295, grad_fn=<MseLossBackward0>)","tensor(0.2340, grad_fn=<MseLossBackward0>)","tensor(-0.3017, grad_fn=<NegBackward0>)"
72.0,"tensor(-4.3602, grad_fn=<MeanBackward0>)","tensor(0.1608, grad_fn=<MseLossBackward0>)","tensor(0.1561, grad_fn=<MseLossBackward0>)","tensor(-0.3092, grad_fn=<NegBackward0>)"
73.0,"tensor(-4.3752, grad_fn=<MeanBackward0>)","tensor(0.2311, grad_fn=<MseLossBackward0>)","tensor(0.2280, grad_fn=<MseLossBackward0>)","tensor(-0.3132, grad_fn=<NegBackward0>)"
74.0,"tensor(-4.2854, grad_fn=<MeanBackward0>)","tensor(0.1850, grad_fn=<MseLossBackward0>)","tensor(0.1793, grad_fn=<MseLossBackward0>)","tensor(-0.3177, grad_fn=<NegBackward0>)"
75.0,"tensor(-4.4023, grad_fn=<MeanBackward0>)","tensor(0.2173, grad_fn=<MseLossBackward0>)","tensor(0.2016, grad_fn=<MseLossBackward0>)","tensor(-0.3238, grad_fn=<NegBackward0>)"
