Timestamp,veh_id,CBR,neighbors,SNR,Reward
1.0,veh3,0.15,12,17.86356746117272,0.6116091489497826
1.0,veh5,0.15,8,30.717281995824006,0.362064734250913
1.0,veh11,0.15,5,21.283080964351523,0.5320213539118062
1.0,veh16,0.25,10,18.98116878666782,0.6657825069248856
1.0,veh4,0.15,11,17.757918649374016,0.6087051500454855
1.0,veh20,0.15,12,27.42996727834833,0.41149166036706
1.0,veh9,0.15,13,19.87011417215691,0.5660444764505399
1.0,veh12,0.11257373466556743,6,18.471281903661403,0.5736739091384879
1.0,veh10,0.25,12,27.180980088353518,0.4925391338610295
1.0,veh18,0.15,8,31.756319837065778,0.34822847708446736
1.0,veh1,0.11231365784057767,6,28.17525119298082,0.37049230219718143
1.0,veh19,0.15,11,30.974625049747836,0.358563079899912
1.0,veh2,0.15,10,17.207753382206466,0.5938550385584503
1.0,veh7,0.15,9,21.49190349579653,0.5272157754817666
1.0,veh6,0.15,5,32.719740108939774,0.3360935419474476
1.0,veh13,0.15,19,20.115814641275588,0.5599347514197813
1.0,veh14,0.25,19,16.537295535388804,0.6532840418996742
1.0,veh15,0.25,11,9.342331779287953,0.5013958482759999
1.0,veh17,0.15,5,26.503943617561706,0.4271237672268098
1.0,veh8,0.15,12,25.529359555141372,0.4444677295024939
2.0,veh3,0.25,10,12.962067278763133,0.5702429659634013
2.0,veh5,0.15,6,33.86102382331263,0.32253398144749507
2.0,veh11,0.10299089834668922,6,32.82779692780902,0.2986117132675825
2.0,veh16,0.15,6,32.068500011916775,0.34422500327480554
2.0,veh4,0.25,11,29.407706318464236,0.45760381236112957
2.0,veh20,0.25,12,18.832300555017895,0.6697145978504087
2.0,veh9,0.25,11,19.69363499878482,0.6474077333275738
2.0,veh12,0.15,8,21.287148901626264,0.5319272060997077
2.0,veh10,0.25,11,30.510194514299123,0.441842219728262
2.0,veh18,0.15,10,30.931402956602874,0.35914770832323734
2.0,veh1,0.15,10,23.18907300224487,0.4901597724400204
2.0,veh19,0.25,10,29.4433343224088,0.45707922219009783
2.0,veh2,0.15,11,31.594816607280727,0.35032704625866057
2.0,veh7,0.15,19,30.819859584946656,0.36066296267214587
2.0,veh6,0.10267665752636838,6,28.253307738204352,0.36184991215431883
2.0,veh13,0.35,14,16.8752402264574,0.7389435693424522
2.0,veh14,0.35,15,15.330781897431955,0.7003213377634856
2.0,veh15,0.25,12,28.40176679766009,0.47285213832045486
2.0,veh17,0.10237835426966035,8,16.34713435419706,0.5348845746890293
2.0,veh8,0.25,12,15.574604007032367,0.6292774011709166
3.0,veh3,0.15,11,29.617512262459087,0.3776064258722157
3.0,veh5,0.15,5,31.030518229009832,0.357809138981691
3.0,veh11,0.15,6,22.9004132719128,0.49621836098891925
3.0,veh16,0.15,16,29.420417355148125,0.3804934577532057
3.0,veh4,0.25,10,19.716760458239055,0.6468234200029908
3.0,veh20,0.25,11,31.64279590587351,0.4266247141243047
3.0,veh9,0.25,10,20.23707215712002,0.6338731680236018
3.0,veh12,0.15,9,31.756572058343558,0.3482252144308638
3.0,veh10,0.25,6,29.406729289317877,0.4576182128653796
3.0,veh18,0.15,10,31.333885981815744,0.3537576109137348
3.0,veh1,0.15,11,23.18424688024624,0.4902602698358824
3.0,veh19,0.15,10,20.42749551694781,0.5523033589767328
3.0,veh2,0.25,11,28.66373871133056,0.46879866446810664
3.0,veh7,0.35,11,31.678194350322432,0.5030874406270895
3.0,veh6,0.15,12,23.845382015095677,0.4767409879962498
3.0,veh13,0.25,15,28.3116076109338,0.4742608667083237
3.0,veh14,0.25,14,20.165049249320717,0.6356435313784592
3.0,veh15,0.25,11,30.635776044574257,0.4401073382501273
3.0,veh17,0.15,8,33.67635209119142,0.32467017825545663
3.0,veh8,0.25,15,30.63323747395971,0.44014228832013025
4.0,veh3,0.25,14,31.786701857998313,0.42475887066613804
4.0,veh5,0.10220828192555839,18,31.862678492474014,0.31009384268432605
4.0,veh11,0.15,12,31.90519595585316,0.3463105920856383
4.0,veh16,0.35,8,31.585949542534266,0.5042889647131616
4.0,veh4,0.15,10,18.642346856964192,0.5978562650700698
4.0,veh20,0.25,7,30.859548819900855,0.4370458070781539
4.0,veh9,0.15,9,31.64191159843228,0.3497131490554482
4.0,veh12,0.15,10,33.06812889947405,0.3318628103400577
4.0,veh10,0.15,7,19.19134935250442,0.5833629602926504
4.0,veh18,0.15,12,33.13822152668465,0.3310214758617302
4.0,veh1,0.25,12,30.797917264726166,0.4378852205804977
4.0,veh19,0.15,8,15.977518644160387,0.5622458114724391
4.0,veh2,0.25,12,31.167401434177126,0.4328956609202036
4.0,veh7,0.25,13,18.148791094448878,0.6881916417787314
4.0,veh6,0.25,11,22.992930744056984,0.5711890277976768
4.0,veh13,0.25,13,31.978193216280882,0.42229906740170275
4.0,veh14,0.25,13,31.327684082951926,0.43076283338818444
4.0,veh15,0.25,8,30.079432456586808,0.44788591483679585
4.0,veh17,0.15,12,31.456518523211514,0.35213911461379943
4.0,veh8,0.25,14,30.87530844764339,0.4368316240995478
5.0,veh3,0.25,12,30.59384317931472,0.4406852861370868
5.0,veh5,0.35,9,33.03957428272939,0.4860526507146401
5.0,veh11,0.25,12,30.950659007440045,0.43581015165322656
5.0,veh16,0.15,10,31.19667141563341,0.35558167938912033
5.0,veh4,0.15,9,31.035162459284194,0.3577465984217403
5.0,veh20,0.15,6,32.90512067876828,0.3338321432203083
5.0,veh9,0.15,15,24.84380879765396,0.45724297515261353
5.0,veh12,0.15,12,29.56640564342723,0.3783519988172795
5.0,veh10,0.15,3,30.934152807511175,0.3591104716030423
5.0,veh18,0.25,12,31.376461536459196,0.4301175284280042
5.0,veh1,0.25,19,13.390373356420241,0.5793436990325305
5.0,veh19,0.15,7,25.427886855344052,0.44632813247015524
5.0,veh2,0.25,10,33.236230448248676,0.40677361373839804
5.0,veh7,0.25,13,9.898471606158667,0.5110946985195122
5.0,veh6,0.25,19,32.52260258383266,0.4154471270054851
5.0,veh13,0.25,11,25.539957243818122,0.5211971123179842
5.0,veh14,0.25,19,30.036363045892323,0.44849818056650226
5.0,veh15,0.15,17,31.179091846877615,0.35581638069132304
5.0,veh17,0.25,13,20.71469666074159,0.6223104480068997
5.0,veh8,0.25,12,30.001166303468917,0.44899961902488195
6.0,veh3,0.25,19,31.75687076066027,0.42514442749564696
6.0,veh5,0.15,9,34.00176194064528,0.32092064063810927
6.0,veh11,0.25,11,17.63452318497758,0.6822579303446263
6.0,veh16,0.15,12,16.751829230980583,0.5818880010830293
6.0,veh4,0.15,7,23.63780551378077,0.48093228035028074
6.0,veh20,0.15,14,29.82596538780517,0.37458722213163226
6.0,veh9,0.25,5,20.961886831781886,0.6164456736516507
6.0,veh12,0.25,12,29.215647648799205,0.46044965783589764
6.0,veh10,0.10303181338891894,6,32.166133861726216,0.30685773544320283
