[2025-07-06 23:52:22] [18.87505531311035, 14.739215850830078]
[2025-07-06 23:52:22] [23.02494239807129, 10.94992446899414]
[2025-07-06 23:52:22] [21.864482879638672, 14.809601783752441]
[2025-07-06 23:52:22] [21.817907333374023, 10.950555801391602]
[2025-07-06 23:52:22] [25.08848762512207, 15.260440826416016]
[2025-07-06 23:52:22] [25.490631103515625, 11.555148124694824]
[2025-07-06 23:52:22] [23.886333465576172, 10.868398666381836]
[2025-07-06 23:52:22] [23.86174774169922, 12.555018424987793]
[2025-07-06 23:52:22] [16.97359275817871, 12.823807716369629]
[2025-07-06 23:52:22] [22.917949676513672, 14.012470245361328]
[2025-07-06 23:52:22] [25.33344268798828, 13.139336585998535]
[2025-07-06 23:52:22] [24.271804809570312, 11.044361114501953]
[2025-07-06 23:52:22] [23.7059326171875, 11.912910461425781]
[2025-07-06 23:52:22] [24.518537521362305, 10.470824241638184]
[2025-07-06 23:52:22] [16.018186569213867, 14.868806838989258]
[2025-07-06 23:52:22] [23.305221557617188, 11.237100601196289]
[2025-07-06 23:52:22] [20.549556732177734, 12.371423721313477]
[2025-07-06 23:52:22] [20.875892639160156, 10.713812828063965]
[2025-07-06 23:52:22] [23.63250732421875, 12.859048843383789]
[2025-07-06 23:52:22] [16.668994903564453, 10.530818939208984]
[2025-07-06 23:52:22] [23.18760108947754, 16.32861328125]
[2025-07-06 23:52:22] [21.038040161132812, 10.348518371582031]
[2025-07-06 23:52:22] [16.68650245666504, 11.378201484680176]
[2025-07-06 23:52:22] [21.510753631591797, 12.116144180297852]
[2025-07-06 23:52:22] [23.967538833618164, 11.417449951171875]
[2025-07-06 23:52:22] [22.422317504882812, 11.080126762390137]
[2025-07-06 23:52:22] [24.546175003051758, 12.037412643432617]
[2025-07-06 23:52:22] [19.537750244140625, 12.342257499694824]
[2025-07-06 23:52:22] [15.976105690002441, 11.749034881591797]
[2025-07-06 23:52:22] [26.379409790039062, 11.605741500854492]
[2025-07-06 23:52:22] [22.528484344482422, 13.36569595336914]
[2025-07-06 23:52:22] [23.794710159301758, 11.815832138061523]
[2025-07-06 23:52:22] [22.24569320678711, 10.854477882385254]
[2025-07-06 23:52:22] [23.518085479736328, 11.784926414489746]
[2025-07-06 23:52:22] [21.078245162963867, 11.321691513061523]
[2025-07-06 23:52:22] [22.211753845214844, 13.545989990234375]
[2025-07-06 23:52:22] [21.77498435974121, 17.520164489746094]
[2025-07-06 23:52:22] [20.10620880126953, 14.989935874938965]
[2025-07-06 23:52:22] [22.769289016723633, 10.72472858428955]
[2025-07-06 23:52:22] [22.93704605102539, 11.214150428771973]
[2025-07-06 23:52:22] [23.721654891967773, 13.105894088745117]
[2025-07-06 23:52:22] [18.349746704101562, 14.742183685302734]
[2025-07-06 23:52:22] [21.096725463867188, 14.536276817321777]
[2025-07-06 23:52:22] [14.46627426147461, 12.491114616394043]
[2025-07-06 23:52:22] [14.386874198913574, 11.5643949508667]
[2025-07-06 23:52:22] [19.370981216430664, 10.178398132324219]
[2025-07-06 23:52:22] [14.386987686157227, 10.51999568939209]
[2025-07-06 23:52:22] [11.35414981842041, 11.674566268920898]
[2025-07-06 23:52:22] [18.389558792114258, 11.947345733642578]
[2025-07-06 23:52:22] [11.002612113952637, 13.998419761657715]
[2025-07-06 23:52:22] [21.362010955810547, 10.481451988220215]
[2025-07-06 23:52:22] [11.842361450195312, 12.107186317443848]
[2025-07-06 23:52:22] [15.313648223876953, 11.056746482849121]
[2025-07-06 23:52:22] [10.644329071044922, 11.481001853942871]
[2025-07-06 23:52:22] [14.857793807983398, 10.966428756713867]
[2025-07-06 23:52:22] [18.97327423095703, 10.55499267578125]
[2025-07-06 23:52:22] [14.962360382080078, 10.292553901672363]
[2025-07-06 23:52:22] [12.050590515136719, 13.033864974975586]
[2025-07-06 23:52:22] [12.27015209197998, 12.484684944152832]
[2025-07-06 23:52:22] [22.245832443237305, 10.659688949584961]
[2025-07-06 23:52:22] [15.17447280883789, 11.163251876831055]
[2025-07-06 23:52:22] [12.15928840637207, 10.591794967651367]
[2025-07-06 23:52:22] [17.55101776123047, 10.943277359008789]
[2025-07-06 23:52:22] [16.74883270263672, 12.141270637512207]
[2025-07-06 23:52:22] [15.417823791503906, 11.256213188171387]
[2025-07-06 23:52:22] [23.67554473876953, 12.421891212463379]
[2025-07-06 23:52:22] [12.015007972717285, 10.982441902160645]
